nombre,categoria,sku,codigo_barras,precio_bs,precio_usd,costo_bs,costo_usd,stock_minimo
Coca Cola 2L,Bebidas,BEB001,7501234567890,15.00,3.75,12.00,3.00,20
Pepsi 2L,Bebidas,BEB002,7501234567891,14.00,3.50,11.20,2.80,20
Agua Mineral 1L,Bebidas,BEB003,7501234567892,8.00,2.00,6.40,1.60,30
Sprite 2L,Bebidas,BEB004,7501234567893,15.00,3.75,12.00,3.00,20
Fanta 2L,Bebidas,BEB005,7501234567894,15.00,3.75,12.00,3.00,20
Laptop Dell Inspiron,Electrónica,ELEC001,7501234567895,12000.00,3000.00,10000.00,2500.00,5
Mouse Logitech,Accesorios,ACC001,7501234567896,150.00,37.50,120.00,30.00,15
Teclado Mecánico RGB,Accesorios,ACC002,7501234567897,400.00,100.00,320.00,80.00,10
Monitor 24 pulgadas,Electrónica,ELEC002,7501234567898,1600.00,400.00,1280.00,320.00,8
Cable HDMI 2m,Accesorios,ACC003,7501234567899,80.00,20.00,64.00,16.00,25
Auriculares Bluetooth,Electrónica,ELEC003,7501234567900,280.00,70.00,224.00,56.00,12
Webcam HD 1080p,Accesorios,ACC004,7501234567901,320.00,80.00,256.00,64.00,10
Mouse Pad Gaming,Accesorios,ACC005,7501234567902,50.00,12.50,40.00,10.00,30
Pan Integral,Panadería,PAN001,7501234567903,12.00,3.00,9.60,2.40,50
Pan Blanco,Panadería,PAN002,7501234567904,10.00,2.50,8.00,2.00,50
Pan de Hamburguesa,Panadería,PAN003,7501234567905,15.00,3.75,12.00,3.00,40
Leche Entera 1L,Lácteos,LAC001,7501234567906,18.00,4.50,14.40,3.60,40
Queso Blanco 500g,Lácteos,LAC002,7501234567907,35.00,8.75,28.00,7.00,25
Yogurt Natural,Lácteos,LAC003,7501234567908,10.00,2.50,8.00,2.00,30
Mantequilla 250g,Lácteos,LAC004,7501234567909,25.00,6.25,20.00,5.00,30
Queso Amarillo 500g,Lácteos,LAC005,7501234567910,40.00,10.00,32.00,8.00,20
Arroz 1kg,Granos,GRA001,7501234567911,20.00,5.00,16.00,4.00,60
Pasta Spaghetti 500g,Granos,GRA002,7501234567912,12.00,3.00,9.60,2.40,45
Lentejas 500g,Granos,GRA003,7501234567913,15.00,3.75,12.00,3.00,40
Frijoles Negros 500g,Granos,GRA004,7501234567914,18.00,4.50,14.40,3.60,40
Harina de Trigo 1kg,Granos,GRA005,7501234567915,22.00,5.50,17.60,4.40,50
Aceite Vegetal 1L,Condimentos,CON001,7501234567916,45.00,11.25,36.00,9.00,30
Sal 1kg,Condimentos,CON002,7501234567917,8.00,2.00,6.40,1.60,50
Azúcar 1kg,Condimentos,CON003,7501234567918,20.00,5.00,16.00,4.00,60
Mayonesa 500g,Condimentos,CON004,7501234567919,35.00,8.75,28.00,7.00,25
Ketchup 500g,Condimentos,CON005,7501234567920,30.00,7.50,24.00,6.00,25
Mostaza 500g,Condimentos,CON006,7501234567921,28.00,7.00,22.40,5.60,25
Detergente en Polvo 1kg,Limpieza,LIM001,7501234567922,50.00,12.50,40.00,10.00,30
Jabón Líquido 1L,Limpieza,LIM002,7501234567923,40.00,10.00,32.00,8.00,25
Cloro 1L,Limpieza,LIM003,7501234567924,25.00,6.25,20.00,5.00,30
Desinfectante 1L,Limpieza,LIM004,7501234567925,35.00,8.75,28.00,7.00,25
Papel Higiénico 4 rollos,Limpieza,LIM005,7501234567926,45.00,11.25,36.00,9.00,40
Servilletas x100,Limpieza,LIM006,7501234567927,15.00,3.75,12.00,3.00,50
Esponja de Cocina x3,Limpieza,LIM007,7501234567928,20.00,5.00,16.00,4.00,40
Shampoo 400ml,Cuidado Personal,PER001,7501234567929,60.00,15.00,48.00,12.00,20
Acondicionador 400ml,Cuidado Personal,PER002,7501234567930,55.00,13.75,44.00,11.00,20
Jabón de Tocador x3,Cuidado Personal,PER003,7501234567931,25.00,6.25,20.00,5.00,30
Crema Dental 100g,Cuidado Personal,PER004,7501234567932,30.00,7.50,24.00,6.00,35
Cepillo de Dientes,Cuidado Personal,PER005,7501234567933,18.00,4.50,14.40,3.60,40
Desodorante en Barra,Cuidado Personal,PER006,7501234567934,40.00,10.00,32.00,8.00,25
Papel Aluminio 15m,Hogar,HOG001,7501234567935,35.00,8.75,28.00,7.00,20
Papel Film 30m,Hogar,HOG002,7501234567936,30.00,7.50,24.00,6.00,20
Bolsas de Basura x10,Hogar,HOG003,7501234567937,25.00,6.25,20.00,5.00,30
Fósforos x10 cajas,Hogar,HOG004,7501234567938,15.00,3.75,12.00,3.00,40
Velas x6,Hogar,HOG005,7501234567939,20.00,5.00,16.00,4.00,35
